geo_level,geo_name,pct_black_alone,reason_for_unemployment,population_group,race_or_ethnicity,unemployed_population_per_100_people,quartiles_action_race,bls_year,acs_year
state,Arkansas,14.9,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Arkansas,14.9,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Arkansas,14.9,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,California,5.5,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.25,26-50% of geographies,2024,2023
state,California,5.5,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.967,Top 25% of geographies,2024,2023
state,California,5.5,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.133,51-75% of geographies,2024,2023
state,California,5.5,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.001,Top 25% of geographies,2024,2023
state,California,5.5,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.517,51-75% of geographies,2024,2023
state,California,5.5,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.267,Top 25% of geographies,2024,2023
state,Colorado,4.0,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.6,Top 25% of geographies,2024,2023
state,Colorado,4.0,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.066,51-75% of geographies,2024,2023
state,Colorado,4.0,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Colorado,4.0,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Colorado,4.0,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.533,Top 25% of geographies,2024,2023
state,Colorado,4.0,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Connecticut,10.7,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Connecticut,10.7,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.585,Bottom 25% of geographies,2024,2023
state,Connecticut,10.7,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Connecticut,10.7,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.17,Top 25% of geographies,2024,2023
state,Connecticut,10.7,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Connecticut,10.7,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.755,51-75% of geographies,2024,2023
state,Delaware,21.9,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Delaware,21.9,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Delaware,21.9,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Delaware,21.9,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Delaware,21.9,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.429,26-50% of geographies,2024,2023
state,Delaware,21.9,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,District of Columbia,43.3,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,District of Columbia,43.3,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,District of Columbia,43.3,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,District of Columbia,43.3,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,District of Columbia,43.3,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,District of Columbia,43.3,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Florida,15.3,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.796,26-50% of geographies,2024,2023
state,Florida,15.3,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.318,Bottom 25% of geographies,2024,2023
state,Florida,15.3,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.796,Bottom 25% of geographies,2024,2023
state,Florida,15.3,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.478,Top 25% of geographies,2024,2023
state,Florida,15.3,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.229,Bottom 25% of geographies,2024,2023
state,Florida,15.3,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.159,Bottom 25% of geographies,2024,2023
state,Georgia,31.3,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.269,26-50% of geographies,2024,2023
state,Georgia,31.3,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.846,Bottom 25% of geographies,2024,2023
state,Georgia,31.3,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.537,26-50% of geographies,2024,2023
state,Georgia,31.3,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.211,26-50% of geographies,2024,2023
state,Georgia,31.3,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.211,51-75% of geographies,2024,2023
state,Georgia,31.3,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.211,26-50% of geographies,2024,2023
state,Hawaii,1.9,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.186,Top 25% of geographies,2024,2023
state,Hawaii,1.9,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.371,26-50% of geographies,2024,2023
state,Hawaii,1.9,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.186,26-50% of geographies,2024,2023
state,Hawaii,1.9,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.186,26-50% of geographies,2024,2023
state,Hawaii,1.9,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.928,Bottom 25% of geographies,2024,2023
state,Hawaii,1.9,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.371,Bottom 25% of geographies,2024,2023
state,Idaho,0.7,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Idaho,0.7,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Idaho,0.7,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Idaho,0.7,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Idaho,0.7,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Idaho,0.7,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Illinois,13.8,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.573,Top 25% of geographies,2024,2023
state,Illinois,13.8,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Illinois,13.8,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.677,Top 25% of geographies,2024,2023
state,Illinois,13.8,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.135,51-75% of geographies,2024,2023
state,Illinois,13.8,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.219,Top 25% of geographies,2024,2023
state,Illinois,13.8,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.677,Top 25% of geographies,2024,2023
state,Indiana,9.3,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Indiana,9.3,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Indiana,9.3,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Indiana,9.3,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Indiana,9.3,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Indiana,9.3,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Iowa,3.9,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Iowa,3.9,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Iowa,3.9,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Iowa,3.9,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Iowa,3.9,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Iowa,3.9,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kansas,5.4,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Kansas,5.4,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Kansas,5.4,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Kansas,5.4,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Kansas,5.4,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kansas,5.4,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kentucky,7.9,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Kentucky,7.9,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Kentucky,7.9,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kentucky,7.9,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kentucky,7.9,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Kentucky,7.9,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Louisiana,31.1,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Louisiana,31.1,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.251,51-75% of geographies,2024,2023
state,Louisiana,31.1,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Louisiana,31.1,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.502,51-75% of geographies,2024,2023
state,Louisiana,31.1,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Louisiana,31.1,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.251,51-75% of geographies,2024,2023
state,Maine,1.7,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Maine,1.7,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Maine,1.7,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Maine,1.7,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Maine,1.7,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Maine,1.7,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Maryland,29.6,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Maryland,29.6,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.502,51-75% of geographies,2024,2023
state,Maryland,29.6,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.251,51-75% of geographies,2024,2023
state,Maryland,29.6,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.502,Top 25% of geographies,2024,2023
state,Maryland,29.6,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.753,Top 25% of geographies,2024,2023
state,Maryland,29.6,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.009,51-75% of geographies,2024,2023
state,Massachusetts,7.0,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Massachusetts,7.0,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.404,51-75% of geographies,2024,2023
state,Massachusetts,7.0,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,2.223,Top 25% of geographies,2024,2023
state,Massachusetts,7.0,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.414,Top 25% of geographies,2024,2023
state,Massachusetts,7.0,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.202,26-50% of geographies,2024,2023
state,Massachusetts,7.0,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.202,Top 25% of geographies,2024,2023
state,Michigan,13.4,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Michigan,13.4,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.607,26-50% of geographies,2024,2023
state,Michigan,13.4,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Michigan,13.4,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.607,Top 25% of geographies,2024,2023
state,Michigan,13.4,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.82,Top 25% of geographies,2024,2023
state,Michigan,13.4,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.607,Top 25% of geographies,2024,2023
state,Minnesota,6.8,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.038,51-75% of geographies,2024,2023
state,Minnesota,6.8,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Minnesota,6.8,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Minnesota,6.8,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.383,26-50% of geographies,2024,2023
state,Minnesota,6.8,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Minnesota,6.8,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.346,51-75% of geographies,2024,2023
state,Mississippi,37.0,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Mississippi,37.0,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Mississippi,37.0,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Mississippi,37.0,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Mississippi,37.0,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Mississippi,37.0,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Missouri,11.1,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Missouri,11.1,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Missouri,11.1,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Missouri,11.1,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Missouri,11.1,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Missouri,11.1,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Montana,0.5,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Montana,0.5,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Montana,0.5,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Montana,0.5,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Montana,0.5,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Montana,0.5,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Nebraska,4.8,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Nebraska,4.8,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,Nebraska,4.8,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Nebraska,4.8,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Nebraska,4.8,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,Nebraska,4.8,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Nevada,9.4,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Nevada,9.4,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.73,Top 25% of geographies,2024,2023
state,Nevada,9.4,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,Nevada,9.4,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.365,Top 25% of geographies,2024,2023
state,Nevada,9.4,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,Nevada,9.4,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.095,Top 25% of geographies,2024,2023
state,New Hampshire,1.5,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Hampshire,1.5,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,New Hampshire,1.5,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,New Hampshire,1.5,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Hampshire,1.5,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Hampshire,1.5,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Bottom 25% of geographies,2024,2023
state,New Jersey,13.0,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.197,Top 25% of geographies,2024,2023
state,New Jersey,13.0,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.762,Top 25% of geographies,2024,2023
state,New Jersey,13.0,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.98,51-75% of geographies,2024,2023
state,New Jersey,13.0,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.762,51-75% of geographies,2024,2023
state,New Jersey,13.0,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.109,Top 25% of geographies,2024,2023
state,New Jersey,13.0,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,3.701,Top 25% of geographies,2024,2023
state,New Mexico,2.1,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Mexico,2.1,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Mexico,2.1,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New Mexico,2.1,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,Top 25% of geographies,2024,2023
state,New Mexico,2.1,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,51-75% of geographies,2024,2023
state,New Mexico,2.1,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,,26-50% of geographies,2024,2023
state,New York,14.7,New entrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.226,51-75% of geographies,2024,2023
state,New York,14.7,Reentrants,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.339,51-75% of geographies,2024,2023
state,New York,14.7,Job losers and people who completed temporary jobs - On temporary layoff,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.17,26-50% of geographies,2024,2023
state,New York,14.7,Job leavers,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,0.283,Bottom 25% of geographies,2024,2023
state,New York,14.7,Total unemployed,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.978,51-75% of geographies,2024,2023
state,New York,14.7,Job losers and people who completed temporary jobs - Total,Asian,Person-level number of unemployed persons per 100 people identifying as Asian,1.13,Top 25% of geographies,2024,2023
